file,url,boxes,is_primary,Is there a face?,Hard to spot?_gt,Accident or design?_gt,Emotion?_gt,Person or creature?_gt,Gender?_gt,Amusing?_gt,Common?,Flags,num_boxes,train,split,image_path_gt,key,image_path_predfile,model,latency_ms,error,_raw,Hard to spot?_predfile,Accident or design?_predfile,Emotion?_predfile,Person or creature?_predfile,Gender?_predfile,Amusing?_predfile,image_path,Hard to spot?_gt_raw,Hard to spot?_pred_raw,Hard to spot?_gt_norm,Hard to spot?_pred_norm,Hard to spot?_is_valid,Hard to spot?_pred,Accident or design?_gt_raw,Accident or design?_pred_raw,Accident or design?_gt_norm,Accident or design?_pred_norm,Accident or design?_is_valid,Accident or design?_pred,Emotion?_gt_raw,Emotion?_pred_raw,Emotion?_gt_norm,Emotion?_pred_norm,Emotion?_is_valid,Emotion?_pred,Person or creature?_gt_raw,Person or creature?_pred_raw,Person or creature?_gt_norm,Person or creature?_pred_norm,Person or creature?_is_valid,Person or creature?_pred,Gender?_gt_raw,Gender?_pred_raw,Gender?_gt_norm,Gender?_pred_norm,Gender?_is_valid,Gender?_pred,Amusing?_gt_raw,Amusing?_pred_raw,Amusing?_gt_norm,Amusing?_pred_norm,Amusing?_is_valid,Amusing?_pred
000007038.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007038.jpg,"[[202.105, 160.975, 233.308, 190.05]]",[True],Yes,Hard,Accident,Neutral,Animal,Neutral,Somewhat,Uncommon,['Interesting'],1,False,3,000007038.jpg,000007038.jpg,,,,,,,,,,,,000007038.jpg,Hard,,Hard,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Animal,,Animal,,False,,Neutral,,Neutral,,False,,Somewhat,,Somewhat,,False,
000018844.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000018844.jpg,"[[138, 288, 83, 71]]",[True],Yes,Hard,Accident,Neutral,Human-Old,Male,No,Uncommon,,1,True,0,000018844.jpg,000018844.jpg,,,,,,,,,,,,000018844.jpg,Hard,,Hard,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Human-Old,,Human-Old,,False,,Male,,Male,,False,,No,,No,,False,
000026283.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000026283.jpg,"[[268, 315, 16, 26], [316, 266, 21, 17]]","[False, True]",Several,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],2,False,1,000026283.jpg,000026283.jpg,,,,,,,,,,,,000026283.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Neutral,,Neutral,,False,,Cartoon,,Cartoon,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000020601.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000020601.jpg,"[[229, 221, 90, 87]]",[True],Yes,Easy,,Sad,Cartoon,Neutral,No,Common,['NSFW'],1,True,1,000020601.jpg,000020601.jpg,,,,,,,,,,,,000020601.jpg,Easy,,Easy,,False,,,,,,False,,Sad,,Sad,,False,,Cartoon,,Cartoon,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000020510.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000020510.jpg,"[[77, 203, 103, 92], [323, 326, 118, 100], [334, 198, 116, 95], [329, 86, 107, 90]]","[True, False, False, False]",Several,Easy,Design,Happy,Cartoon,Neutral,No,Common,,4,True,2,000020510.jpg,000020510.jpg,,,,,,,,,,,,000020510.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Happy,,Happy,,False,,Cartoon,,Cartoon,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000025668.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000025668.jpg,"[[260, 126, 133, 197]]",[True],Yes,Medium,Accident,Neutral,Human-Adult,Neutral,No,Uncommon,,1,False,1,000025668.jpg,000025668.jpg,,,,,,,,,,,,000025668.jpg,Medium,,Medium,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Human-Adult,,Human-Adult,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000021539.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021539.jpg,"[[221, 137, 111, 151]]",[True],Yes,Medium,Accident,Neutral,Human-Adult,Male,No,Uncommon,,1,True,0,000021539.jpg,000021539.jpg,,,,,,,,,,,,000021539.jpg,Medium,,Medium,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Human-Adult,,Human-Adult,,False,,Male,,Male,,False,,No,,No,,False,
000001944.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000001944.jpg,"[[132, 191, 258, 115]]",[True],Yes,Easy,Design,Neutral,,Female,Somewhat,Common,,1,False,1,000001944.jpg,000001944.jpg,,,,,,,,,,,,000001944.jpg,Easy,,Easy,,False,,Design,,Design,,False,,Neutral,,Neutral,,False,,,,,,False,,Female,,Female,,False,,Somewhat,,Somewhat,,False,
000014815.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000014815.jpg,"[[291, 213, 119, 75]]",[True],Yes,Easy,Accident,,Animal,Neutral,No,Common,['Interesting'],1,False,0,000014815.jpg,000014815.jpg,,,,,,,,,,,,000014815.jpg,Easy,,Easy,,False,,Accident,,Accident,,False,,,,,,False,,Animal,,Animal,,False,,Neutral,,Neutral,,False,,No,,No,,False,
000025426.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000025426.jpg,"[[165, 168, 38, 72]]",[True],Yes,Easy,Accident,Neutral,Other,Neutral,No,Common,['NSFW'],1,True,1,000025426.jpg,000025426.jpg,,,,,,,,,,,,000025426.jpg,Easy,,Easy,,False,,Accident,,Accident,,False,,Neutral,,Neutral,,False,,Other,,Other,,False,,Neutral,,Neutral,,False,,No,,No,,False,
