image_path,Accident or design?_gt_norm,Accident or design?_pred_norm
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005736.jpg,Design,Accident
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000575.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000021518.jpg,Design,Accident
/Users/precioux/Desktop/Creativity/FacesInThings/images/000026944.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006014.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000027945.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006512.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000011770.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025846.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015039.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000021860.jpg,Design,Accident
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003261.jpg,Design,Accident
/Users/precioux/Desktop/Creativity/FacesInThings/images/000019731.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005382.jpg,Design,Accident
/Users/precioux/Desktop/Creativity/FacesInThings/images/000020016.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000018640.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000014983.jpg,Design,Accident
/Users/precioux/Desktop/Creativity/FacesInThings/images/000021456.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015102.jpg,Design,Accident
/Users/precioux/Desktop/Creativity/FacesInThings/images/000024179.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003771.jpg,Design,Accident
/Users/precioux/Desktop/Creativity/FacesInThings/images/000012618.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015264.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000017945.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000009680.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000019358.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025066.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006429.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000014946.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005403.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000017112.jpg,Design,Accident
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006187.jpg,Design,Accident
/Users/precioux/Desktop/Creativity/FacesInThings/images/000004833.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000009205.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005665.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000020820.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015698.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006303.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006474.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005926.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000012835.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000013620.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000007831.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000008642.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025422.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000220.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000010998.jpg,Design,Accident
/Users/precioux/Desktop/Creativity/FacesInThings/images/000017377.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000009364.jpg,Accident,Design
/Users/precioux/Desktop/Creativity/FacesInThings/images/000007776.jpg,Accident,Design
