image_path,Amusing?_gt_norm,Amusing?_pred_norm
/Users/precioux/Desktop/Creativity/FacesInThings/images/000026283.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000020510.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025668.jpg,No,Somewhat
/Users/precioux/Desktop/Creativity/FacesInThings/images/000001944.jpg,Somewhat,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000014815.jpg,No,Somewhat
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025426.jpg,No,Somewhat
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005736.jpg,Somewhat,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000004308.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015457.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000017095.jpg,No,Somewhat
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006307.jpg,Somewhat,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000021518.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000007868.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000102.jpg,No,Somewhat
/Users/precioux/Desktop/Creativity/FacesInThings/images/000007864.jpg,Somewhat,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000026944.jpg,No,Somewhat
/Users/precioux/Desktop/Creativity/FacesInThings/images/000024238.jpg,No,Somewhat
/Users/precioux/Desktop/Creativity/FacesInThings/images/000002520.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000007550.jpg,Somewhat,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000023760.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000022526.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006014.jpg,Somewhat,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000014465.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000024110.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000018968.jpg,No,Somewhat
/Users/precioux/Desktop/Creativity/FacesInThings/images/000013231.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000010829.jpg,No,Somewhat
/Users/precioux/Desktop/Creativity/FacesInThings/images/000007486.jpg,Somewhat,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000350.jpg,Somewhat,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006512.jpg,Somewhat,No
/Users/precioux/Desktop/Creativity/FacesInThings/images/000001290.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000004766.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000020006.jpg,No,Somewhat
/Users/precioux/Desktop/Creativity/FacesInThings/images/000018753.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015365.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025846.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000022435.jpg,Somewhat,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015039.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000011413.jpg,Somewhat,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005328.jpg,Somewhat,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000010972.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000002210.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003261.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000010142.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000019731.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000023004.jpg,No,Somewhat
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003440.jpg,Somewhat,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003904.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000001013.jpg,No,Yes
/Users/precioux/Desktop/Creativity/FacesInThings/images/000014594.jpg,No,Yes
