image_path,Hard to spot?_gt_norm,Hard to spot?_pred_norm
/Users/precioux/Desktop/Creativity/FacesInThings/images/000007038.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025668.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000014815.jpg,Easy,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005736.jpg,Easy,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000575.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000021730.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000017095.jpg,Easy,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006307.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000102.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003570.jpg,Easy,Hard
/Users/precioux/Desktop/Creativity/FacesInThings/images/000026944.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000024238.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000007550.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000024917.jpg,Medium,Hard
/Users/precioux/Desktop/Creativity/FacesInThings/images/000018968.jpg,Easy,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015140.jpg,Medium,Hard
/Users/precioux/Desktop/Creativity/FacesInThings/images/000010829.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000027945.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006512.jpg,Medium,Hard
/Users/precioux/Desktop/Creativity/FacesInThings/images/000020006.jpg,Easy,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015365.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015039.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000026356.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000011413.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025600.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003904.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000027632.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000017441.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000014657.jpg,Easy,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000022192.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003891.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000013103.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000018640.jpg,Easy,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005101.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000018346.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000008581.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000199.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000020762.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015264.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000023474.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000009249.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000012086.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000008975.jpg,Medium,Easy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000027879.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005412.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000007255.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000008459.jpg,Easy,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005845.jpg,Medium,Hard
/Users/precioux/Desktop/Creativity/FacesInThings/images/000012857.jpg,Hard,Medium
/Users/precioux/Desktop/Creativity/FacesInThings/images/000016825.jpg,Hard,Easy
