image_path,Accident or design?_gt_norm,Accident or design?_pred_norm
/mnt/mahdipou/test/FacesInThings/images/000007038.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000018844.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000025668.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000021539.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000014815.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000025426.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000017095.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000000102.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000007864.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000003570.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000026944.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000002615.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000018879.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000007550.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000006605.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000027359.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000018968.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000010829.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000000350.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000012705.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000026560.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000011770.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000020006.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000021487.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000015365.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000026356.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000004940.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000016692.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000023004.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000027632.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000017441.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000014657.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000022192.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000020016.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000013103.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000018640.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000005101.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000005113.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000013957.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000000808.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000021456.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000008581.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000016965.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000025247.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000000199.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000026002.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000007329.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000024179.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000009453.jpg,Accident,Design
/mnt/mahdipou/test/FacesInThings/images/000024632.jpg,Accident,Design
