image_path,Person or creature?_gt_norm,Person or creature?_pred_norm
/mnt/mahdipou/test/FacesInThings/images/000007038.jpg,Animal,Other
/mnt/mahdipou/test/FacesInThings/images/000018844.jpg,Human-Old,Other
/mnt/mahdipou/test/FacesInThings/images/000020601.jpg,Cartoon,Other
/mnt/mahdipou/test/FacesInThings/images/000025668.jpg,Human-Adult,Other
/mnt/mahdipou/test/FacesInThings/images/000021539.jpg,Human-Adult,Other
/mnt/mahdipou/test/FacesInThings/images/000014815.jpg,Animal,Other
/mnt/mahdipou/test/FacesInThings/images/000005736.jpg,Human-Adult,Other
/mnt/mahdipou/test/FacesInThings/images/000004308.jpg,Cartoon,Other
/mnt/mahdipou/test/FacesInThings/images/000006307.jpg,Human-Old,Other
/mnt/mahdipou/test/FacesInThings/images/000007868.jpg,Alien,Other
/mnt/mahdipou/test/FacesInThings/images/000000102.jpg,Alien,Other
/mnt/mahdipou/test/FacesInThings/images/000007864.jpg,Animal,Other
/mnt/mahdipou/test/FacesInThings/images/000005917.jpg,Human-Adult,Other
/mnt/mahdipou/test/FacesInThings/images/000003570.jpg,Human-Adult,Other
/mnt/mahdipou/test/FacesInThings/images/000026944.jpg,Other,Cartoon
/mnt/mahdipou/test/FacesInThings/images/000018879.jpg,Alien,Other
/mnt/mahdipou/test/FacesInThings/images/000002520.jpg,Human-Young,Other
/mnt/mahdipou/test/FacesInThings/images/000007550.jpg,Robot,Other
/mnt/mahdipou/test/FacesInThings/images/000006604.jpg,Animal,Cartoon
/mnt/mahdipou/test/FacesInThings/images/000023760.jpg,Cartoon,Other
/mnt/mahdipou/test/FacesInThings/images/000022526.jpg,Cartoon,Other
/mnt/mahdipou/test/FacesInThings/images/000014465.jpg,Cartoon,Other
/mnt/mahdipou/test/FacesInThings/images/000006605.jpg,Animal,Human-Adult
/mnt/mahdipou/test/FacesInThings/images/000018968.jpg,Human-Adult,Other
/mnt/mahdipou/test/FacesInThings/images/000013231.jpg,Human-Adult,Other
/mnt/mahdipou/test/FacesInThings/images/000010829.jpg,Alien,Other
/mnt/mahdipou/test/FacesInThings/images/000007486.jpg,Human-Young,Other
/mnt/mahdipou/test/FacesInThings/images/000000350.jpg,Robot,Other
/mnt/mahdipou/test/FacesInThings/images/000012705.jpg,Alien,Other
/mnt/mahdipou/test/FacesInThings/images/000026560.jpg,Alien,Other
/mnt/mahdipou/test/FacesInThings/images/000001290.jpg,Human-Young,Cartoon
/mnt/mahdipou/test/FacesInThings/images/000004766.jpg,Cartoon,Robot
/mnt/mahdipou/test/FacesInThings/images/000011770.jpg,Human-Adult,Other
/mnt/mahdipou/test/FacesInThings/images/000020006.jpg,Human-Old,Other
/mnt/mahdipou/test/FacesInThings/images/000021487.jpg,Human-Old,Other
/mnt/mahdipou/test/FacesInThings/images/000015365.jpg,Animal,Other
/mnt/mahdipou/test/FacesInThings/images/000022435.jpg,Animal,Cartoon
/mnt/mahdipou/test/FacesInThings/images/000021860.jpg,Human-Adult,Other
/mnt/mahdipou/test/FacesInThings/images/000026356.jpg,Alien,Other
/mnt/mahdipou/test/FacesInThings/images/000011413.jpg,Robot,Cartoon
/mnt/mahdipou/test/FacesInThings/images/000025600.jpg,Human-Old,Other
/mnt/mahdipou/test/FacesInThings/images/000002210.jpg,Cartoon,Other
/mnt/mahdipou/test/FacesInThings/images/000004940.jpg,Alien,Other
/mnt/mahdipou/test/FacesInThings/images/000016692.jpg,Human-Young,Cartoon
/mnt/mahdipou/test/FacesInThings/images/000010142.jpg,Animal,Cartoon
/mnt/mahdipou/test/FacesInThings/images/000023004.jpg,Animal,Other
/mnt/mahdipou/test/FacesInThings/images/000003440.jpg,Human-Adult,Cartoon
/mnt/mahdipou/test/FacesInThings/images/000003904.jpg,Animal,Other
/mnt/mahdipou/test/FacesInThings/images/000001013.jpg,Animal,Other
/mnt/mahdipou/test/FacesInThings/images/000027632.jpg,Human-Old,Other
