image_path,Amusing?_gt_norm,Amusing?_pred_norm
/mnt/mahdipou/test/FacesInThings/images/000000080.jpg,Somewhat,Yes
/mnt/mahdipou/test/FacesInThings/images/000000752.jpg,No,Yes
/mnt/mahdipou/test/FacesInThings/images/000000365.jpg,Somewhat,Yes
/mnt/mahdipou/test/FacesInThings/images/000000052.jpg,No,Yes
/mnt/mahdipou/test/FacesInThings/images/000000754.jpg,No,Yes
/mnt/mahdipou/test/FacesInThings/images/000000027.jpg,Somewhat,Yes
/mnt/mahdipou/test/FacesInThings/images/000000098.jpg,No,Somewhat
/mnt/mahdipou/test/FacesInThings/images/000000068.jpg,Somewhat,Yes
/mnt/mahdipou/test/FacesInThings/images/000000568.jpg,No,Yes
/mnt/mahdipou/test/FacesInThings/images/000000349.jpg,No,Yes
/mnt/mahdipou/test/FacesInThings/images/000000552.jpg,No,Yes
/mnt/mahdipou/test/FacesInThings/images/000000693.jpg,No,Yes
/mnt/mahdipou/test/FacesInThings/images/000000492.jpg,No,Yes
/mnt/mahdipou/test/FacesInThings/images/000000724.jpg,No,Yes
/mnt/mahdipou/test/FacesInThings/images/000000682.jpg,No,Yes
