image_path,model,error,latency_ms,Hard to spot?_x,Accident or design?_x,Emotion?_x,Person or creature?_x,Gender?_x,Amusing?_x,pred_Hard to spot?_norm,pred_Accident or design?_norm,pred_Emotion?_norm,pred_Person or creature?_norm,pred_Gender?_norm,pred_Amusing?_norm,Hard to spot?_y,Accident or design?_y,Emotion?_y,Person or creature?_y,Gender?_y,Amusing?_y,gt_Hard to spot?_norm,gt_Accident or design?_norm,gt_Emotion?_norm,gt_Person or creature?_norm,gt_Gender?_norm,gt_Amusing?_norm,answered_any
000007038.jpg,gemma,,,,,,,,,,,,,,,Hard,Accident,Neutral,Animal,Neutral,Somewhat,Hard,Accident,Neutral,Animal,Neutral,Somewhat,False
000007038.jpg,qwen,,,,,,,,,,,,,,,Hard,Accident,Neutral,Animal,Neutral,Somewhat,Hard,Accident,Neutral,Animal,Neutral,Somewhat,False
000007038.jpg,gemini,,,,,,,,,,,,,,,Hard,Accident,Neutral,Animal,Neutral,Somewhat,Hard,Accident,Neutral,Animal,Neutral,Somewhat,False
000018844.jpg,gemma,,,,,,,,,,,,,,,Hard,Accident,Neutral,Human-Old,Male,No,Hard,Accident,Neutral,Human-Old,Male,No,False
000018844.jpg,qwen,,,,,,,,,,,,,,,Hard,Accident,Neutral,Human-Old,Male,No,Hard,Accident,Neutral,Human-Old,Male,No,False
000018844.jpg,gemini,,,,,,,,,,,,,,,Hard,Accident,Neutral,Human-Old,Male,No,Hard,Accident,Neutral,Human-Old,Male,No,False
000026283.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000026283.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000026283.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000020601.jpg,gemma,,,,,,,,,,,,,,,Easy,,Sad,Cartoon,Neutral,No,Easy,,Sad,Cartoon,Neutral,No,False
000020601.jpg,qwen,,,,,,,,,,,,,,,Easy,,Sad,Cartoon,Neutral,No,Easy,,Sad,Cartoon,Neutral,No,False
000020601.jpg,gemini,,,,,,,,,,,,,,,Easy,,Sad,Cartoon,Neutral,No,Easy,,Sad,Cartoon,Neutral,No,False
000020510.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Happy,Cartoon,Neutral,No,Easy,Design,Happy,Cartoon,Neutral,No,False
000020510.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Happy,Cartoon,Neutral,No,Easy,Design,Happy,Cartoon,Neutral,No,False
000020510.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Happy,Cartoon,Neutral,No,Easy,Design,Happy,Cartoon,Neutral,No,False
000025668.jpg,gemma,,,,,,,,,,,,,,,Medium,Accident,Neutral,Human-Adult,Neutral,No,Medium,Accident,Neutral,Human-Adult,Neutral,No,False
000025668.jpg,qwen,,,,,,,,,,,,,,,Medium,Accident,Neutral,Human-Adult,Neutral,No,Medium,Accident,Neutral,Human-Adult,Neutral,No,False
000025668.jpg,gemini,,,,,,,,,,,,,,,Medium,Accident,Neutral,Human-Adult,Neutral,No,Medium,Accident,Neutral,Human-Adult,Neutral,No,False
000021539.jpg,gemma,,,,,,,,,,,,,,,Medium,Accident,Neutral,Human-Adult,Male,No,Medium,Accident,Neutral,Human-Adult,Male,No,False
000021539.jpg,qwen,,,,,,,,,,,,,,,Medium,Accident,Neutral,Human-Adult,Male,No,Medium,Accident,Neutral,Human-Adult,Male,No,False
000021539.jpg,gemini,,,,,,,,,,,,,,,Medium,Accident,Neutral,Human-Adult,Male,No,Medium,Accident,Neutral,Human-Adult,Male,No,False
000001944.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Neutral,,Female,Somewhat,Easy,Design,Neutral,,Female,Somewhat,False
000001944.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Neutral,,Female,Somewhat,Easy,Design,Neutral,,Female,Somewhat,False
000001944.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Neutral,,Female,Somewhat,Easy,Design,Neutral,,Female,Somewhat,False
000014815.jpg,gemma,,,,,,,,,,,,,,,Easy,Accident,,Animal,Neutral,No,Easy,Accident,,Animal,Neutral,No,False
000014815.jpg,qwen,,,,,,,,,,,,,,,Easy,Accident,,Animal,Neutral,No,Easy,Accident,,Animal,Neutral,No,False
000014815.jpg,gemini,,,,,,,,,,,,,,,Easy,Accident,,Animal,Neutral,No,Easy,Accident,,Animal,Neutral,No,False
000025426.jpg,gemma,,,,,,,,,,,,,,,Easy,Accident,Neutral,Other,Neutral,No,Easy,Accident,Neutral,Other,Neutral,No,False
000025426.jpg,qwen,,,,,,,,,,,,,,,Easy,Accident,Neutral,Other,Neutral,No,Easy,Accident,Neutral,Other,Neutral,No,False
000025426.jpg,gemini,,,,,,,,,,,,,,,Easy,Accident,Neutral,Other,Neutral,No,Easy,Accident,Neutral,Other,Neutral,No,False
000005736.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Neutral,Human-Adult,Male,Somewhat,Easy,Design,Neutral,Human-Adult,Male,Somewhat,False
000005736.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Neutral,Human-Adult,Male,Somewhat,Easy,Design,Neutral,Human-Adult,Male,Somewhat,False
000005736.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Neutral,Human-Adult,Male,Somewhat,Easy,Design,Neutral,Human-Adult,Male,Somewhat,False
000004308.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000004308.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000004308.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000015457.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Happy,Other,Neutral,No,Easy,Design,Happy,Other,Neutral,No,False
000015457.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Happy,Other,Neutral,No,Easy,Design,Happy,Other,Neutral,No,False
000015457.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Happy,Other,Neutral,No,Easy,Design,Happy,Other,Neutral,No,False
000000575.jpg,gemma,,,,,,,,,,,,,,,Medium,Accident,Surprised,Robot,Neutral,No,Medium,Accident,Surprised,Robot,Neutral,No,False
000000575.jpg,qwen,,,,,,,,,,,,,,,Medium,Accident,Surprised,Robot,Neutral,No,Medium,Accident,Surprised,Robot,Neutral,No,False
000000575.jpg,gemini,,,,,,,,,,,,,,,Medium,Accident,Surprised,Robot,Neutral,No,Medium,Accident,Surprised,Robot,Neutral,No,False
000021730.jpg,gemma,,,,,,,,,,,,,,,Medium,Accident,Neutral,Alien,Neutral,No,Medium,Accident,Neutral,Alien,Neutral,No,False
000021730.jpg,qwen,,,,,,,,,,,,,,,Medium,Accident,Neutral,Alien,Neutral,No,Medium,Accident,Neutral,Alien,Neutral,No,False
000021730.jpg,gemini,,,,,,,,,,,,,,,Medium,Accident,Neutral,Alien,Neutral,No,Medium,Accident,Neutral,Alien,Neutral,No,False
000017095.jpg,gemma,,,,,,,,,,,,,,,Easy,Accident,Neutral,Other,Neutral,No,Easy,Accident,Neutral,Other,Neutral,No,False
000017095.jpg,qwen,,,,,,,,,,,,,,,Easy,Accident,Neutral,Other,Neutral,No,Easy,Accident,Neutral,Other,Neutral,No,False
000017095.jpg,gemini,,,,,,,,,,,,,,,Easy,Accident,Neutral,Other,Neutral,No,Easy,Accident,Neutral,Other,Neutral,No,False
000006307.jpg,gemma,,,,,,,,,,,,,,,Medium,Design,Neutral,Human-Old,Male,Somewhat,Medium,Design,Neutral,Human-Old,Male,Somewhat,False
000006307.jpg,qwen,,,,,,,,,,,,,,,Medium,Design,Neutral,Human-Old,Male,Somewhat,Medium,Design,Neutral,Human-Old,Male,Somewhat,False
000006307.jpg,gemini,,,,,,,,,,,,,,,Medium,Design,Neutral,Human-Old,Male,Somewhat,Medium,Design,Neutral,Human-Old,Male,Somewhat,False
000021518.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000021518.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000021518.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Neutral,Cartoon,Neutral,No,Easy,Design,Neutral,Cartoon,Neutral,No,False
000007868.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Neutral,Alien,Neutral,No,Easy,Design,Neutral,Alien,Neutral,No,False
000007868.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Neutral,Alien,Neutral,No,Easy,Design,Neutral,Alien,Neutral,No,False
000007868.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Neutral,Alien,Neutral,No,Easy,Design,Neutral,Alien,Neutral,No,False
000000102.jpg,gemma,,,,,,,,,,,,,,,Hard,Accident,Neutral,Alien,Neutral,No,Hard,Accident,Neutral,Alien,Neutral,No,False
000000102.jpg,qwen,,,,,,,,,,,,,,,Hard,Accident,Neutral,Alien,Neutral,No,Hard,Accident,Neutral,Alien,Neutral,No,False
000000102.jpg,gemini,,,,,,,,,,,,,,,Hard,Accident,Neutral,Alien,Neutral,No,Hard,Accident,Neutral,Alien,Neutral,No,False
000007864.jpg,gemma,,,,,,,,,,,,,,,Easy,Accident,Sad,Animal,Neutral,Somewhat,Easy,Accident,Sad,Animal,Neutral,Somewhat,False
000007864.jpg,qwen,,,,,,,,,,,,,,,Easy,Accident,Sad,Animal,Neutral,Somewhat,Easy,Accident,Sad,Animal,Neutral,Somewhat,False
000007864.jpg,gemini,,,,,,,,,,,,,,,Easy,Accident,Sad,Animal,Neutral,Somewhat,Easy,Accident,Sad,Animal,Neutral,Somewhat,False
000005917.jpg,gemma,,,,,,,,,,,,,,,Easy,Design,Neutral,Human-Adult,Male,Yes,Easy,Design,Neutral,Human-Adult,Male,Yes,False
000005917.jpg,qwen,,,,,,,,,,,,,,,Easy,Design,Neutral,Human-Adult,Male,Yes,Easy,Design,Neutral,Human-Adult,Male,Yes,False
000005917.jpg,gemini,,,,,,,,,,,,,,,Easy,Design,Neutral,Human-Adult,Male,Yes,Easy,Design,Neutral,Human-Adult,Male,Yes,False
000003570.jpg,gemma,,,,,,,,,,,,,,,Easy,Accident,Neutral,Human-Adult,Female,No,Easy,Accident,Neutral,Human-Adult,Female,No,False
000003570.jpg,qwen,,,,,,,,,,,,,,,Easy,Accident,Neutral,Human-Adult,Female,No,Easy,Accident,Neutral,Human-Adult,Female,No,False
000003570.jpg,gemini,,,,,,,,,,,,,,,Easy,Accident,Neutral,Human-Adult,Female,No,Easy,Accident,Neutral,Human-Adult,Female,No,False
000025618.jpg,gemma,,,,,,,,,,,,,,,Easy,Accident,Happy,Robot,Neutral,No,Easy,Accident,Happy,Robot,Neutral,No,False
000025618.jpg,qwen,,,,,,,,,,,,,,,Easy,Accident,Happy,Robot,Neutral,No,Easy,Accident,Happy,Robot,Neutral,No,False
000025618.jpg,gemini,,,,,,,,,,,,,,,Easy,Accident,Happy,Robot,Neutral,No,Easy,Accident,Happy,Robot,Neutral,No,False
000026944.jpg,gemma,,,,,,,,,,,,,,,Medium,Accident,Angry,Other,Neutral,No,Medium,Accident,Angry,Other,Neutral,No,False
000026944.jpg,qwen,,,,,,,,,,,,,,,Medium,Accident,Angry,Other,Neutral,No,Medium,Accident,Angry,Other,Neutral,No,False
000026944.jpg,gemini,,,,,,,,,,,,,,,Medium,Accident,Angry,Other,Neutral,No,Medium,Accident,Angry,Other,Neutral,No,False
000002615.jpg,gemma,,,,,,,,,,,,,,,Easy,Accident,Other,Other,Neutral,No,Easy,Accident,Other,Other,Neutral,No,False
000002615.jpg,qwen,,,,,,,,,,,,,,,Easy,Accident,Other,Other,Neutral,No,Easy,Accident,Other,Other,Neutral,No,False
