attribute,_image_file,pred_raw,gt_raw,pred_norm,gt_norm
Hard to spot?,000000060.jpg,Medium,Easy,medium,easy
Hard to spot?,000000079.jpg,Medium,Easy,medium,easy
Hard to spot?,000000102.jpg,Medium,Hard,medium,hard
Hard to spot?,000000106.jpg,Medium,Hard,medium,hard
Hard to spot?,000000143.jpg,Hard,Medium,hard,medium
Hard to spot?,000000160.jpg,Easy,Hard,easy,hard
Hard to spot?,000000161.jpg,Easy,Medium,easy,medium
Hard to spot?,000000181.jpg,Medium,Hard,medium,hard
Hard to spot?,000000199.jpg,Medium,Hard,medium,hard
Hard to spot?,000000206.jpg,Medium,Hard,medium,hard
Hard to spot?,000000209.jpg,Medium,Hard,medium,hard
Hard to spot?,000000220.jpg,Hard,Easy,hard,easy
Hard to spot?,000000230.jpg,Medium,Hard,medium,hard
Hard to spot?,000000290.jpg,Easy,Hard,easy,hard
Hard to spot?,000000293.jpg,Medium,Easy,medium,easy
Hard to spot?,000000333.jpg,Medium,Hard,medium,hard
Hard to spot?,000000337.jpg,Medium,Hard,medium,hard
Hard to spot?,000000342.jpg,Easy,Hard,easy,hard
Hard to spot?,000000351.jpg,Medium,Easy,medium,easy
Hard to spot?,000000354.jpg,Easy,Hard,easy,hard
Hard to spot?,000000370.jpg,Easy,Medium,easy,medium
Hard to spot?,000000375.jpg,Easy,Medium,easy,medium
Hard to spot?,000000414.jpg,Easy,Medium,easy,medium
Hard to spot?,000000417.jpg,Easy,Medium,easy,medium
Hard to spot?,000000436.jpg,Hard,Easy,hard,easy
Hard to spot?,000000444.jpg,Medium,Hard,medium,hard
Hard to spot?,000000446.jpg,Easy,Medium,easy,medium
Hard to spot?,000000473.jpg,Medium,Easy,medium,easy
Hard to spot?,000000490.jpg,Easy,Medium,easy,medium
Hard to spot?,000000501.jpg,Medium,Hard,medium,hard
Hard to spot?,000000575.jpg,Easy,Medium,easy,medium
Hard to spot?,000000654.jpg,Medium,Hard,medium,hard
Hard to spot?,000000689.jpg,Easy,Medium,easy,medium
Hard to spot?,000000706.jpg,Medium,,medium,nan
Hard to spot?,000000733.jpg,Medium,Hard,medium,hard
Hard to spot?,000000752.jpg,Medium,Easy,medium,easy
Hard to spot?,000000773.jpg,Medium,Hard,medium,hard
Hard to spot?,000000804.jpg,Medium,Easy,medium,easy
Hard to spot?,000000809.jpg,Medium,Hard,medium,hard
Hard to spot?,000000810.jpg,Medium,Hard,medium,hard
Hard to spot?,000000811.jpg,Medium,Hard,medium,hard
Hard to spot?,000000833.jpg,Easy,Medium,easy,medium
Hard to spot?,000000836.jpg,Easy,Hard,easy,hard
Hard to spot?,000000877.jpg,Medium,Hard,medium,hard
Hard to spot?,000000929.jpg,Easy,Medium,easy,medium
Hard to spot?,000000936.jpg,Medium,Hard,medium,hard
Hard to spot?,000000948.jpg,Medium,Easy,medium,easy
Hard to spot?,000000961.jpg,Medium,Easy,medium,easy
Hard to spot?,000001002.jpg,Easy,Hard,easy,hard
Hard to spot?,000001005.jpg,Medium,Hard,medium,hard
Hard to spot?,000001011.jpg,Medium,Hard,medium,hard
Hard to spot?,000001037.jpg,Medium,Easy,medium,easy
Hard to spot?,000001062.jpg,Medium,Easy,medium,easy
Hard to spot?,000001143.jpg,Medium,Easy,medium,easy
Hard to spot?,000001170.jpg,Medium,Hard,medium,hard
Hard to spot?,000001182.jpg,Medium,Easy,medium,easy
Hard to spot?,000001190.jpg,Medium,Hard,medium,hard
Hard to spot?,000001194.jpg,Medium,Easy,medium,easy
Hard to spot?,000001218.jpg,Medium,Hard,medium,hard
Hard to spot?,000001222.jpg,Medium,Easy,medium,easy
Hard to spot?,000001289.jpg,Easy,Hard,easy,hard
