attribute,_image_file,pred_raw,gt_raw,pred_norm,gt_norm
Hard to spot?,000000009.jpg,Medium,,medium,nan
Hard to spot?,000000052.jpg,Medium,Easy,medium,easy
Hard to spot?,000000060.jpg,Medium,Easy,medium,easy
Hard to spot?,000000068.jpg,Medium,Easy,medium,easy
Hard to spot?,000000079.jpg,Medium,Easy,medium,easy
Hard to spot?,000000080.jpg,Medium,Easy,medium,easy
Hard to spot?,000000081.jpg,Medium,Easy,medium,easy
Hard to spot?,000000090.jpg,Medium,Easy,medium,easy
Hard to spot?,000000092.jpg,Medium,Easy,medium,easy
Hard to spot?,000000102.jpg,Medium,Hard,medium,hard
Hard to spot?,000000106.jpg,Medium,Hard,medium,hard
Hard to spot?,000000107.jpg,Medium,Easy,medium,easy
Hard to spot?,000000115.jpg,Medium,Easy,medium,easy
Hard to spot?,000000140.jpg,Medium,Easy,medium,easy
Hard to spot?,000000152.jpg,Medium,Easy,medium,easy
Hard to spot?,000000181.jpg,Medium,Hard,medium,hard
Hard to spot?,000000197.jpg,Medium,Hard,medium,hard
Hard to spot?,000000199.jpg,Medium,Hard,medium,hard
Hard to spot?,000000206.jpg,Medium,Hard,medium,hard
Hard to spot?,000000209.jpg,Medium,Hard,medium,hard
Hard to spot?,000000216.jpg,Medium,Easy,medium,easy
Hard to spot?,000000220.jpg,Medium,Easy,medium,easy
Hard to spot?,000000230.jpg,Medium,Hard,medium,hard
Hard to spot?,000000240.jpg,Medium,Easy,medium,easy
Hard to spot?,000000242.jpg,Medium,Easy,medium,easy
Hard to spot?,000000283.jpg,Medium,Easy,medium,easy
Hard to spot?,000000289.jpg,Medium,Easy,medium,easy
Hard to spot?,000000290.jpg,Medium,Hard,medium,hard
Hard to spot?,000000292.jpg,Medium,Hard,medium,hard
Hard to spot?,000000293.jpg,Medium,Easy,medium,easy
Hard to spot?,000000295.jpg,Medium,Easy,medium,easy
Hard to spot?,000000309.jpg,Medium,Easy,medium,easy
Hard to spot?,000000333.jpg,Medium,Hard,medium,hard
Hard to spot?,000000337.jpg,Medium,Hard,medium,hard
Hard to spot?,000000350.jpg,Medium,Easy,medium,easy
Hard to spot?,000000351.jpg,Medium,Easy,medium,easy
Hard to spot?,000000354.jpg,Medium,Hard,medium,hard
Hard to spot?,000000362.jpg,Medium,Hard,medium,hard
